Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
1,https://www.youtube.com/watch?v=dig9zKdLags,"iQOO Z7 Pro First Look, Honor 90 India Launch, Chandrayaan-3 Landing, realme GT 5 Launch-#TTN1499",183133,14500,434,Trakin Tech,386
2,https://www.youtube.com/watch?v=E0H6ojmnMHo,"5 illegal Gadgets, चलाने वाले जरूर जाने 🤯🤯 #shorts  #techmaster",5216094,453972,1365,Tech Master Shorts,52
3,https://www.youtube.com/watch?v=NrrhpjnSZwE,Apple iPhone 15 Series will be Different !,1843895,87936,1384,Tech Burner,328
4,https://www.youtube.com/watch?v=kMiy8ZywF88,I bought the most EXPENSIVE Tech on the internet.,7693175,250621,8876,Mrwhosetheboss,1681
5,https://www.youtube.com/watch?v=mstlDn8MxF8,I Bought a ₹50 Lakh Screen !,1568970,103929,2249,Tech Burner,660
6,https://www.youtube.com/watch?v=aZB7jOH3Reg,Most Ingenious Construction Inventions & Advanced Working Technology ▶4,593009,4033,56,Quantum Tech HD,651
7,https://www.youtube.com/watch?v=nF_YtQkcyAM,I bought the most CURSED Tech on the internet.,8885789,223923,7960,Mrwhosetheboss,1559
8,https://www.youtube.com/watch?v=-JWJ3ZOLwAo,MIND BLOWING MILITARY TECHNOLOGIES THAT WILL SURPRISE YOU,87365,2235,82,TechZone,901
9,https://www.youtube.com/watch?v=DITpoLza3cY,Most Ingenious Construction Inventions & Advanced Working Technology ▶5,479418,2556,38,Quantum Tech HD,588
10,https://www.youtube.com/watch?v=uvsyIlKhVlQ,Artificial Biology: BIOTECHNOLOGY in the Future (2050),334985,10583,775,Venture City,695
11,https://www.youtube.com/watch?v=MX79n1kjb58,Timelapse of Future Technology: Next 1000 Years,221989,7017,634,Koranos,672
12,https://www.youtube.com/watch?v=OyQSifeiYsc,Spidy लाया कमाल का gadget ....Amazing 😱 #shorts #tech,1713588,144007,194,Tech Master Shorts,47
13,https://www.youtube.com/watch?v=bXQdf9Mjn6Q,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,600999,3919,90,TechZone,917
14,https://www.youtube.com/watch?v=68PlPkeOwng,Advances in Space Technology: Everything You Need to Know | Complete Series | FD Engineering,284014,3204,133,Free Documentary - Engineering,19635
15,https://www.youtube.com/watch?v=ZFXp57UxMdA,Japan कैसे बना टेक्नॉलजी का राजा? | How Japan became a technological superpower?,38128,1334,44,The Mystica Land,513
16,https://www.youtube.com/watch?v=KVLIrWfXO6A,Access Any WhatsApp on Your Phone - 15 Tips Tricks,554815,67747,2330,Technology Gyan,422
17,https://www.youtube.com/watch?v=EaMe9Bw6uL4,"Employee EXPOSES Linus Tech Tips.. It's Over, New Details",61296,7233,927,CAMELOT331,1448
18,https://www.youtube.com/watch?v=ahU946l6ZLw,4 Unknown Tech Facts,16813893,1286084,840,TechBurner Shorts,52
19,https://www.youtube.com/watch?v=b1NL3eOiqpg,A Good Value for Money - OnePlus Phone ?,341100,21411,1160,Technology Gyan,441
20,https://www.youtube.com/watch?v=d2R55iy467Q,Moreno & Prieto  - Technology Radio #31 (DJ-SET),1508,87,6,Technology Productions,3462
21,https://www.youtube.com/watch?v=gMsQO5u7-NQ,The Disappearing Computer: An Exclusive Preview of Humane’s Screenless Tech | Imran Chaudhri | TED,1209075,29822,2032,TED,835
22,https://www.youtube.com/watch?v=t-OyxDHELFU,We Made World's First Transparent Smartphone !,4460001,269283,16148,Tech Burner,423
